id,client_id,product_id,sale_date,quantity,total_amount
206,9,124,2024-08-30,8,28651.05
207,10,51,2024-01-09,15,914265.75
208,37,74,2024-07-21,3,259676.00
209,38,15,2024-09-11,10,278998.00
210,29,18,2024-04-02,12,302925.55
211,17,108,2023-08-31,14,44496.10
212,5,9,2023-02-23,4,150880.90
213,6,35,2023-08-27,8,88044.00
214,14,66,2023-11-15,7,83600.95
215,43,144,2023-09-16,13,28784.00
216,9,55,2024-08-09,3,313463.90
217,22,112,2023-10-19,13,26934.40
218,38,84,2024-01-16,8,330021.45
219,9,115,2023-02-11,14,11628.00
220,29,23,2024-08-29,14,148675.95
221,39,104,2023-07-23,4,14852.00
222,27,116,2023-06-21,9,23180.00
223,18,125,2023-11-06,9,29088.05
224,42,34,2023-11-21,10,46716.25
225,41,106,2023-09-03,14,58318.60
226,18,144,2024-09-14,13,27344.80
227,15,9,2024-11-18,6,238233.00
228,6,78,2024-01-24,6,730569.00
229,42,100,2023-07-17,4,418401.00
230,14,78,2024-08-04,5,578367.60
231,6,16,2023-05-11,4,120024.00
232,42,144,2024-01-18,9,18930.65
233,23,83,2023-06-05,4,539216.00
234,46,22,2024-08-17,2,74960.70
235,29,131,2024-07-28,2,1830.65
236,33,113,2023-01-08,10,41752.50
237,36,117,2024-03-23,14,57442.00
238,40,55,2024-04-17,4,417951.55
239,28,28,2024-01-10,10,142586.00
240,47,91,2023-04-21,10,1348860.00
241,21,81,2023-11-28,5,610742.00
242,2,132,2024-03-17,14,21882.00
243,40,98,2023-02-23,14,1055503.20
244,28,130,2024-07-17,10,41441.00
245,12,55,2024-07-10,7,769910.00
246,28,137,2023-07-01,14,47397.00
247,23,22,2024-05-23,11,412281.95
248,36,103,2024-12-28,12,21470.00
249,38,67,2024-12-07,13,1115258.00
250,34,66,2023-12-01,14,167202.85
252,15,70,2024-10-12,1,34355.00
253,5,61,2024-03-15,14,392261.00
254,24,5,2023-10-27,7,157398.85
255,10,74,2023-09-21,9,740075.65
256,12,130,2023-06-05,4,16576.00
257,15,124,2023-04-30,1,3581.50
258,49,7,2024-09-12,3,55628.20
259,11,51,2023-11-27,5,320795.00
260,3,59,2024-01-03,1,87166.00
261,11,130,2024-07-24,4,16576.00
262,1,65,2023-02-26,15,383366.00
263,3,107,2024-11-29,2,2875.65
264,10,32,2024-01-24,12,142528.50
265,15,64,2024-01-12,12,1338067.00
266,45,16,2023-08-17,9,270054.00
267,41,101,2023-07-15,14,6488.00
268,24,97,2024-11-09,5,676675.00
269,4,82,2024-06-13,8,413072.00
270,2,119,2024-09-16,12,39070.00
271,49,105,2023-08-20,15,4643.00
272,6,106,2023-05-10,8,33325.05
273,2,143,2024-01-21,15,66546.00
274,40,141,2024-07-14,9,43036.00
275,40,67,2024-02-25,6,514734.00
276,41,110,2023-12-12,10,23707.25
277,9,55,2023-11-05,1,104487.65
278,21,129,2023-02-21,1,3102.70
279,1,71,2023-11-08,12,1562089.00
280,23,62,2024-03-22,9,873998.10
281,16,33,2023-09-04,13,87305.00
282,30,130,2024-08-10,1,4144.00
283,3,124,2023-02-10,10,35814.05
284,37,85,2023-06-28,13,476446.85
285,28,96,2024-12-26,5,335448.80
286,42,35,2024-06-29,3,33017.00
287,3,42,2023-11-05,5,28465.80
288,23,138,2024-08-10,2,7947.70
289,29,75,2024-02-03,8,262147.00
290,28,79,2023-05-11,10,628394.60
291,18,107,2023-09-06,2,2875.65
292,49,74,2023-08-10,1,82231.05
293,23,23,2023-03-14,13,138055.90
294,5,120,2023-05-10,9,28120.00
295,47,102,2023-09-07,12,9984.00
296,38,89,2024-09-16,15,1180171.00
297,28,4,2023-12-11,11,37201.00
298,6,98,2023-05-26,1,75392.95
299,42,137,2024-11-15,6,20313.00
300,19,62,2024-08-05,1,102222.00
301,30,96,2024-10-23,10,706208.00
302,44,74,2024-08-04,11,904536.80
303,28,8,2023-09-01,9,44857.00
304,7,35,2024-01-21,2,22011.00
305,11,38,2024-02-19,12,317534.00
306,12,70,2023-01-04,6,206133.00
307,10,144,2023-07-19,4,8857.00
308,16,124,2023-12-26,3,11310.00
309,19,63,2023-09-23,13,1728477.50
310,20,110,2023-01-29,6,14224.35
311,43,29,2023-11-29,1,34684.50
312,46,101,2024-08-31,12,5282.95
313,27,12,2024-08-11,1,2589.70
314,14,35,2023-05-09,11,121061.00
315,12,137,2023-01-08,8,27084.00
316,41,94,2023-07-24,13,503272.95
317,15,73,2024-10-06,12,1717919.00
318,1,97,2024-12-14,9,1218016.00
319,12,16,2023-11-11,15,450090.00
320,39,45,2024-02-17,8,75268.50
321,42,8,2024-10-01,7,34889.00
322,47,50,2024-05-21,15,160683.00
323,46,106,2024-02-02,7,29159.30
324,15,21,2023-04-17,5,43673.00
325,30,130,2024-08-13,8,31495.35
326,32,27,2023-05-06,15,247672.00
327,43,60,2023-10-19,8,826508.55
328,38,78,2024-07-26,12,1388082.05
329,3,123,2024-11-30,1,2777.00
331,2,97,2023-11-22,11,1488686.00
332,44,26,2023-08-28,15,259248.00
333,35,36,2023-05-08,6,128827.60
334,40,86,2023-11-01,6,561139.00
335,44,14,2024-12-15,11,374225.90
336,22,29,2024-01-02,14,485587.75
337,35,137,2024-06-15,13,44011.00
338,44,110,2024-06-26,2,4741.45
339,43,134,2023-04-05,3,14153.00
340,24,130,2023-03-18,4,16576.00
341,35,34,2024-07-06,2,9343.25
342,3,74,2023-11-10,6,493383.45
343,47,64,2023-11-07,14,1483024.10
344,47,138,2024-05-16,12,50197.00
345,36,89,2024-10-21,3,236034.00
346,48,39,2024-12-15,14,394117.00
347,17,63,2023-10-14,11,1462557.30
348,38,40,2024-11-24,14,188648.15
349,31,55,2024-12-15,8,835903.10
350,42,7,2023-11-05,5,92714.30
351,41,6,2024-09-04,14,157208.85
352,32,136,2024-02-09,8,15788.00
353,6,88,2024-09-29,5,229597.90
354,12,113,2023-10-13,9,37577.25
355,8,141,2023-07-08,8,36341.30
356,14,22,2023-11-20,1,37480.35
357,42,27,2023-07-31,15,235288.40
358,42,10,2023-10-06,15,480496.00
359,15,26,2024-06-07,4,65676.35
360,33,63,2024-09-10,3,419873.00
361,29,9,2024-07-15,15,595582.00
362,39,20,2024-04-21,10,292917.30
363,49,130,2024-08-20,8,33153.00
364,6,6,2024-07-27,6,70921.00
365,14,112,2024-06-23,11,23990.00
366,18,16,2024-09-19,14,399079.80
367,17,72,2024-04-30,7,697652.00
368,6,129,2023-08-09,14,43440.65
369,27,114,2024-06-23,3,2398.00
370,47,27,2024-02-23,9,148603.00
371,3,57,2024-05-24,9,1015659.25
372,42,77,2023-02-20,7,312933.00
373,29,145,2024-01-31,6,26099.00
374,6,22,2024-08-06,15,562203.35
375,43,16,2024-07-26,1,30006.00
376,33,88,2024-10-17,15,725047.00
377,15,59,2023-03-29,15,1242117.40
378,49,80,2023-10-01,5,646119.00
379,25,26,2024-10-18,14,241965.00
381,12,39,2023-05-06,4,112604.45
382,3,7,2024-01-18,5,92714.30
383,24,121,2023-07-11,5,18471.00
384,30,4,2023-12-18,9,30437.00
385,25,3,2023-03-14,13,111448.30
386,33,73,2024-08-31,10,1431599.00
387,5,115,2023-02-21,12,9967.00
388,6,85,2024-01-28,3,109949.20
389,32,145,2024-12-18,1,4350.00
390,30,9,2024-06-01,9,357350.00
391,29,69,2024-09-04,2,90530.00
392,47,120,2023-03-18,1,3124.00
393,39,130,2023-10-07,6,24865.00
394,25,128,2023-08-17,11,48600.10
395,3,29,2023-02-27,11,381533.30
396,9,67,2023-08-30,13,1115258.00
397,37,108,2023-09-17,5,15891.60
398,21,139,2023-08-12,14,18950.60
399,16,124,2024-02-05,10,37699.00
400,12,122,2024-11-02,12,15870.00
402,13,85,2023-07-18,1,36650.05
403,46,32,2024-11-19,2,23754.75
404,46,5,2023-07-19,7,157398.85
405,13,45,2023-05-07,4,39615.00
406,15,63,2024-04-23,6,797758.70
407,23,59,2024-08-24,15,1307492.00
408,9,68,2023-11-16,9,571970.30
409,42,15,2023-12-23,7,195298.00
410,5,22,2024-07-24,12,473434.00
411,38,89,2023-10-20,15,1121162.45
412,31,115,2023-09-06,4,3155.90
413,42,66,2023-06-25,6,71658.50
414,18,75,2023-05-13,12,393221.00
415,17,97,2023-05-31,2,270670.00
416,13,16,2023-10-29,4,120024.00
417,41,85,2024-06-17,9,347208.00
418,5,68,2023-11-21,1,63552.15
419,39,150,2023-12-13,8,12506.75
420,38,12,2023-02-22,5,12949.45
421,17,122,2024-04-20,13,17192.00
422,18,104,2024-11-11,8,28218.80
423,31,24,2023-06-06,8,185857.00
424,38,77,2023-09-16,1,44705.00
425,23,90,2023-01-14,11,826567.45
426,37,12,2023-08-08,1,2726.00
427,42,63,2024-07-30,14,1861436.65
428,28,43,2024-12-05,4,140387.00
429,7,108,2024-01-24,10,33456.00
430,46,5,2023-11-24,10,236690.00
431,28,47,2023-03-10,7,40717.95
432,30,27,2023-04-20,1,15685.45
433,14,40,2024-03-16,9,127656.00
434,46,98,2024-09-29,13,980110.25
435,33,55,2023-02-05,1,109987.00
436,33,47,2024-03-18,6,36738.00
437,25,110,2024-01-12,11,26078.45
438,6,88,2024-04-01,6,275518.05
439,13,1,2024-01-02,2,66245.00
440,20,83,2024-02-28,6,808823.00
441,28,64,2024-03-24,14,1483024.10
442,44,17,2024-07-28,3,42116.00
443,15,91,2023-02-18,5,674430.00
444,27,28,2023-08-28,14,189639.00
445,29,6,2023-11-28,9,106382.00
446,13,139,2023-04-11,4,5700.00
447,34,144,2023-06-11,14,29448.10
448,31,56,2024-10-23,3,128966.00
449,14,60,2024-12-19,3,309940.35
450,48,62,2023-08-26,12,1165330.80
451,42,54,2024-02-19,13,1500955.35
452,28,134,2024-09-26,2,8963.25
453,22,96,2024-07-23,9,603808.60
454,39,29,2023-07-22,12,416217.80
455,39,13,2024-06-09,5,38736.00
456,17,43,2024-03-02,8,266736.25
457,49,92,2023-11-11,8,675291.35
458,41,13,2024-07-31,3,23241.00
459,44,67,2023-12-05,11,943680.00
460,31,150,2023-09-22,3,4690.15
461,10,23,2024-10-29,4,42479.25
462,49,126,2023-05-13,3,7629.45
463,7,26,2024-06-12,14,241965.00
464,45,64,2023-12-09,8,892044.00
465,17,96,2024-10-18,7,469628.70
466,45,9,2023-05-01,15,595582.00
467,22,30,2023-05-31,4,128991.00
468,3,101,2024-03-31,6,2641.00
469,44,9,2024-10-31,1,37720.70
470,5,55,2024-02-29,14,1539821.00
471,33,36,2023-03-25,12,271217.00
472,26,56,2023-01-04,7,285874.95
473,4,84,2024-06-20,12,495032.65
474,9,147,2024-06-22,12,34542.95
475,2,107,2023-10-06,15,22701.00
476,3,86,2023-03-05,11,977316.30
477,33,32,2024-07-01,2,25005.00
478,47,105,2023-04-12,3,882.55
479,2,60,2023-03-06,6,652507.00
480,20,4,2023-04-28,1,3382.00
481,33,55,2023-10-06,6,626926.85
482,33,27,2024-05-30,9,148603.00
483,41,123,2024-08-26,10,27771.00
484,22,110,2023-07-21,6,14224.35
485,23,149,2023-01-17,6,6982.00
486,48,17,2023-02-28,8,106694.50
487,42,104,2023-07-11,7,25991.00
488,33,30,2023-03-01,1,32248.00
489,33,124,2023-11-15,9,32232.55
490,14,73,2024-07-24,10,1431599.00
491,33,138,2023-12-04,6,23843.10
492,9,141,2023-10-14,4,18170.65
493,24,40,2024-06-28,1,13474.80
494,32,46,2024-02-19,2,9968.00
495,2,43,2023-02-20,8,280775.00
496,31,98,2023-09-29,10,793611.00
497,31,121,2024-10-30,9,31585.60
498,34,20,2024-01-03,13,380793.25
499,39,101,2024-10-07,15,6951.00
500,27,72,2023-09-28,4,398659.00
501,31,24,2024-05-01,14,325251.00
502,45,72,2023-01-25,12,1136177.20
503,45,54,2024-11-27,11,1270038.85
504,7,102,2023-02-21,8,6323.20
505,25,124,2024-07-24,13,49009.00
506,40,35,2023-01-13,6,62731.35
507,36,143,2024-01-10,9,37931.60
508,36,109,2024-09-19,13,7690.25
509,35,132,2024-06-18,9,14067.00
510,48,6,2023-03-10,12,141843.00
511,17,120,2024-11-15,15,46867.00
512,14,12,2024-09-25,14,36258.65
513,18,47,2024-08-08,3,17450.55
514,34,100,2023-11-23,4,418401.00
515,28,83,2024-12-18,10,1280637.05
516,32,119,2024-01-15,4,12371.85
517,49,4,2023-05-30,7,22489.35
518,48,90,2024-05-12,8,632779.00
519,5,101,2023-09-09,1,439.85
520,29,10,2023-01-14,13,416430.00
521,29,109,2024-11-04,4,2366.45
522,24,146,2023-07-24,15,7440.00
523,9,130,2024-09-19,7,27558.55
524,8,56,2024-02-15,7,285874.95
525,45,15,2024-12-11,10,265048.10
526,8,12,2023-03-02,7,18128.85
527,48,53,2024-02-13,1,53675.00
528,15,45,2024-03-31,12,118845.00
529,4,5,2024-11-29,7,165683.00
530,32,92,2024-01-04,8,675291.35
531,13,19,2023-07-21,10,164324.00
532,41,59,2024-08-11,6,496847.15
533,25,4,2023-08-15,15,48191.60
534,12,120,2023-03-25,5,15622.00
535,5,112,2024-10-22,11,23990.00
536,19,86,2023-01-17,8,748185.00
537,9,63,2023-02-27,2,265919.25
538,29,141,2024-12-13,1,4542.90
539,35,65,2024-11-21,10,242798.15
540,24,121,2023-12-15,8,28076.30
541,1,72,2023-08-11,2,189362.55
542,19,91,2024-04-22,12,1618632.00
543,3,6,2024-08-18,2,23640.00
544,28,134,2024-09-22,6,28306.00
545,39,53,2023-09-21,1,53675.00
546,19,55,2023-11-01,15,1567317.60
547,10,25,2023-07-16,1,11519.70
548,27,24,2024-07-06,14,308988.45
549,27,9,2024-10-10,10,397055.00
550,5,56,2023-08-29,14,571750.85
551,23,27,2024-06-06,1,16511.00
552,48,11,2023-11-04,15,516305.05
553,20,122,2023-01-28,7,9257.00
554,23,16,2023-11-13,15,450090.00
555,8,84,2023-08-31,6,260543.00
556,38,40,2023-02-18,9,127656.00
557,44,43,2024-08-11,4,140387.00
558,43,42,2023-01-27,2,11386.70
559,9,100,2024-03-18,5,496850.95
560,18,4,2023-04-21,10,33819.00
561,33,51,2023-06-12,2,128318.00
562,16,99,2023-06-26,4,407613.65
563,44,150,2024-02-14,9,14811.00
564,13,139,2024-09-02,11,15674.00
565,12,115,2024-03-07,11,8679.20
566,1,30,2023-09-16,7,214448.25
567,4,7,2023-06-09,3,58556.00
568,8,12,2023-08-28,1,2589.70
569,24,12,2023-06-28,12,31078.30
570,8,132,2024-12-30,10,14848.50
571,9,43,2023-08-06,11,386065.00
572,7,138,2023-06-28,3,12549.00
573,10,83,2023-12-26,1,134804.00
574,8,3,2023-03-28,12,102875.50
575,19,136,2023-10-15,14,27629.00
576,49,7,2024-04-25,10,195188.00
577,30,13,2024-04-08,11,80957.10
578,27,125,2024-11-20,3,10206.00
579,42,53,2023-08-07,14,713877.50
580,22,146,2024-06-20,14,6596.80
581,12,7,2023-06-14,10,195188.00
582,46,9,2024-11-24,5,198528.00
583,17,58,2023-10-31,2,217649.00
584,6,49,2023-06-03,2,25201.60
585,30,6,2024-02-14,14,157208.85
586,36,130,2023-02-07,14,58017.00
587,28,113,2024-09-08,7,30765.00
589,42,93,2024-08-17,14,1406678.00
590,12,82,2024-08-22,1,49052.30
591,33,54,2023-11-13,9,1039122.35
592,21,133,2024-06-02,4,7192.45
593,11,124,2023-10-07,15,56549.00
594,15,12,2024-04-22,15,38848.35
595,21,49,2024-08-08,5,63004.95
596,23,30,2023-04-23,14,451470.00
597,8,84,2023-05-07,9,390815.00
598,13,39,2024-11-01,14,414860.00
599,10,122,2023-03-16,9,11902.00
600,36,73,2024-06-01,13,1768025.05
601,11,56,2023-12-23,11,449232.20
602,35,39,2024-05-24,8,225209.85
603,19,97,2024-12-23,10,1353351.00
604,6,72,2024-02-29,10,946813.70
605,41,9,2023-04-02,4,150880.90
606,24,61,2023-05-26,11,308205.00
607,19,32,2024-01-31,1,12502.00
608,23,76,2023-11-29,4,592793.00
609,16,70,2023-08-22,10,343554.00
610,8,90,2024-03-09,11,870071.00
611,45,13,2023-04-18,9,66237.80
612,32,11,2024-01-14,10,344203.05
613,14,21,2024-07-22,14,122284.00
614,45,83,2024-03-28,1,134804.00
615,29,37,2024-06-30,5,28822.05
616,31,52,2024-08-27,1,13018.80
617,23,73,2023-07-31,5,680010.00
618,43,131,2023-06-12,8,7323.55
619,26,30,2023-09-13,3,96744.00
620,40,12,2023-09-23,2,5179.40
621,18,107,2024-09-22,8,11501.65
622,33,84,2024-04-24,14,607934.00
623,30,77,2023-10-19,14,594571.75
624,1,108,2023-11-03,5,16728.00
625,21,55,2023-05-25,5,522439.20
626,47,9,2023-08-31,12,476466.00
627,47,120,2024-04-15,3,8904.35
628,20,72,2024-12-28,3,284044.30
629,23,116,2024-04-09,8,20604.00
630,18,67,2024-09-04,13,1059495.10
631,43,15,2023-01-04,2,55800.00
632,41,61,2023-12-19,15,420279.00
633,21,117,2023-03-23,5,19489.25
634,33,88,2023-12-09,9,413276.60
635,31,63,2024-11-23,13,1728477.50
636,30,137,2024-06-30,8,27084.00
637,38,89,2023-01-20,7,523208.70
638,9,62,2023-12-10,1,97110.90
639,14,9,2023-10-25,4,158822.00
640,14,61,2023-10-01,6,159706.40
641,37,134,2024-08-08,6,26890.70
642,33,84,2024-08-28,5,206263.05
643,30,37,2024-01-15,15,91016.00
644,5,40,2023-11-19,8,107798.40
645,22,97,2024-08-04,9,1218016.00
646,44,15,2024-08-25,2,55800.00
647,18,128,2023-03-19,9,39763.20
648,24,106,2024-08-19,10,43849.00
649,25,31,2024-11-30,11,86558.30
650,21,22,2023-03-27,13,487242.65
651,6,34,2023-07-02,12,59010.00
652,22,80,2024-05-28,12,1550686.00
653,44,109,2023-05-21,13,8095.00
654,5,42,2024-01-14,5,28465.80
655,1,66,2024-01-04,14,176003.00
656,1,135,2024-10-28,7,11512.00
657,19,121,2024-09-12,13,45624.70
658,19,101,2024-07-26,5,2201.15
659,36,24,2024-01-19,11,255554.00
660,2,91,2023-10-29,12,1618632.00
661,8,134,2023-09-25,1,4482.10
662,6,38,2024-05-06,12,301657.30
663,39,147,2023-01-02,9,25907.45
664,7,33,2024-11-15,7,44659.50
665,43,114,2023-04-25,13,10391.00
666,14,15,2023-01-01,5,132524.05
667,16,124,2024-04-26,1,3581.50
668,22,64,2024-01-25,2,223011.00
669,25,110,2023-02-25,4,9982.00
670,7,124,2023-05-31,13,46558.55
671,2,66,2024-07-30,5,59715.10
672,9,124,2023-06-16,4,14326.00
673,4,95,2023-11-26,13,862129.75
674,14,108,2024-05-30,15,47673.85
675,2,148,2023-02-17,14,63648.10
676,11,4,2023-03-15,5,16909.00
677,18,7,2023-01-21,8,156150.00
678,3,107,2024-09-20,10,14377.30
679,43,133,2024-06-08,2,3785.00
680,6,21,2023-12-08,12,104815.00
681,32,76,2024-10-06,3,422365.25
682,20,18,2024-09-10,2,53145.00
683,18,130,2023-07-27,14,58017.00
684,1,63,2024-08-08,12,1679492.00
685,9,98,2024-12-01,3,238083.00
686,43,9,2023-05-27,13,490363.40
687,18,149,2024-06-20,1,1164.00
688,43,55,2024-01-04,8,835903.10
689,43,125,2024-03-15,7,22623.30
690,43,71,2024-07-23,6,781044.00
691,14,2,2024-12-17,15,199473.40
692,33,18,2023-06-21,3,79717.00
693,18,87,2024-09-09,8,534879.00
694,27,17,2023-05-07,5,70194.00
695,17,71,2023-06-12,5,650870.00
696,36,90,2024-11-16,14,1107363.00
697,27,106,2024-04-20,4,16662.05
698,3,124,2023-03-22,10,37699.00
699,2,128,2023-01-24,8,35345.70
700,6,77,2023-10-15,2,84938.55
701,47,120,2023-04-29,2,5936.55
702,20,16,2024-06-02,8,240048.00
703,23,41,2024-05-08,3,31800.00
704,16,16,2024-04-27,7,199539.90
